
Most common patterns:

Events | [[1, "TAB_CREATED"], [2, "TAB_REMOVED"], [3, "TAB_ACTIVATED"], [4, "TAB_MOVED"], [5, "TAB_UPDATED"], [6, "TAB_ATTACHED"], [7, "TAB_DETACHED"]]
Attributes | window size: 100 sec | max gap: 5 sec | grouped: true | min support: 0.1% of transactions

Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 21 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 23 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 24 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 26 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 28 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 29 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 31 times
Sequence: TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED > TAB_UPDATED >  | Occured: 32 times
